"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.8244","0.8244","0.8244"
"1","0.9071","0.9071","0.9071"
"2","0.9291","0.9291","0.9291"
"3","0.9414","0.9414","0.9414"
"4","0.95","0.95","0.95"
"5","0.9566","0.9566","0.9566"
"6","0.96","0.96","0.96"
"7","0.9643","0.9643","0.9643"
"8","0.9655","0.9655","0.9655"
"9","0.9687","0.9687","0.9687"
"10","0.9697","0.9697","0.9697"
"11","0.9734","0.9734","0.9734"
"12","0.9731","0.9731","0.9731"
"13","0.9754","0.9754","0.9754"
"14","0.9759","0.9759","0.9759"
"15","0.9764","0.9764","0.9764"
"16","0.9781","0.9781","0.9781"
"17","0.9794","0.9794","0.9794"
"18","0.9788","0.9788","0.9788"
"19","0.9796","0.9796","0.9796"
"20","0.9806","0.9806","0.9806"
"21","0.981","0.981","0.981"
"22","0.9818","0.9818","0.9818"
"23","0.9824","0.9824","0.9824"
"24","0.982","0.982","0.982"
"25","0.9825","0.9825","0.9825"
"26","0.9825","0.9825","0.9825"
"27","0.9824","0.9824","0.9824"
"28","0.9819","0.9819","0.9819"
"29","0.983","0.983","0.983"
"30","0.9837","0.9837","0.9837"
"31","0.9833","0.9833","0.9833"
"32","0.9839","0.9839","0.9839"
"33","0.9839","0.9839","0.9839"
"34","0.9843","0.9843","0.9843"
"35","0.9841","0.9841","0.9841"
"36","0.9856","0.9856","0.9856"
"37","0.9849","0.9849","0.9849"
"38","0.9857","0.9857","0.9857"
"39","0.986","0.986","0.986"
"40","0.9857","0.9857","0.9857"
"41","0.9859","0.9859","0.9859"
"42","0.986","0.986","0.986"
"43","0.986","0.986","0.986"
"44","0.9863","0.9863","0.9863"
"45","0.9866","0.9866","0.9866"
"46","0.9863","0.9863","0.9863"
"47","0.9867","0.9867","0.9867"
"48","0.9869","0.9869","0.9869"
"49","0.987","0.987","0.987"
"50","0.9865","0.9865","0.9865"
"51","0.987","0.987","0.987"
"52","0.9866","0.9866","0.9866"
"53","0.9873","0.9873","0.9873"
"54","0.987","0.987","0.987"
"55","0.9868","0.9868","0.9868"
"56","0.9875","0.9875","0.9875"
"57","0.9878","0.9878","0.9878"
"58","0.988","0.988","0.988"
"59","0.9878","0.9878","0.9878"
"60","0.9879","0.9879","0.9879"
"61","0.9879","0.9879","0.9879"
"62","0.9881","0.9881","0.9881"
"63","0.9879","0.9879","0.9879"
"64","0.9882","0.9882","0.9882"
"65","0.9885","0.9885","0.9885"
"66","0.9871","0.9871","0.9871"
"67","0.9882","0.9882","0.9882"
"68","0.988","0.988","0.988"
"69","0.9883","0.9883","0.9883"
"70","0.9889","0.9889","0.9889"
"71","0.9882","0.9882","0.9882"
"72","0.9884","0.9884","0.9884"
"73","0.9872","0.9872","0.9872"
"74","0.9884","0.9884","0.9884"
"75","0.9885","0.9885","0.9885"
"76","0.9891","0.9891","0.9891"
"77","0.989","0.989","0.989"
"78","0.9897","0.9897","0.9897"
"79","0.9893","0.9893","0.9893"
"80","0.9894","0.9894","0.9894"
"81","0.9884","0.9884","0.9884"
"82","0.9885","0.9885","0.9885"
"83","0.9888","0.9888","0.9888"
"84","0.9893","0.9893","0.9893"
"85","0.9891","0.9891","0.9891"
"86","0.9887","0.9887","0.9887"
"87","0.9884","0.9884","0.9884"
"88","0.9902","0.9902","0.9902"
