"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.2763","0.2763","0.2763"
"1","0.4809","0.4809","0.4809"
"2","0.5853","0.5853","0.5853"
"3","0.712","0.712","0.712"
"4","0.7226","0.7226","0.7226"
"5","0.7857","0.7857","0.7857"
"6","0.8026","0.8026","0.8026"
"7","0.8219","0.8219","0.8219"
"8","0.843","0.843","0.843"
"9","0.8564","0.8564","0.8564"
"10","0.8683","0.8683","0.8683"
"11","0.8712","0.8712","0.8712"
"12","0.8813","0.8813","0.8813"
"13","0.8842","0.8842","0.8842"
"14","0.8876","0.8876","0.8876"
"15","0.8862","0.8862","0.8862"
"16","0.8906","0.8906","0.8906"
"17","0.8934","0.8934","0.8934"
"18","0.8995","0.8995","0.8995"
"19","0.9008","0.9008","0.9008"
"20","0.9055","0.9055","0.9055"
"21","0.9075","0.9075","0.9075"
"22","0.9065","0.9065","0.9065"
"23","0.9079","0.9079","0.9079"
"24","0.9067","0.9067","0.9067"
"25","0.909","0.909","0.909"
"26","0.9102","0.9102","0.9102"
"27","0.9102","0.9102","0.9102"
"28","0.9154","0.9154","0.9154"
"29","0.9087","0.9087","0.9087"
"30","0.9102","0.9102","0.9102"
"31","0.913","0.913","0.913"
"32","0.9196","0.9196","0.9196"
"33","0.9147","0.9147","0.9147"
"34","0.9181","0.9181","0.9181"
"35","0.9172","0.9172","0.9172"
"36","0.9198","0.9198","0.9198"
"37","0.9263","0.9263","0.9263"
"38","0.9293","0.9293","0.9293"
"39","0.9314","0.9314","0.9314"
"40","0.9321","0.9321","0.9321"
"41","0.9338","0.9338","0.9338"
"42","0.93","0.93","0.93"
"43","0.9322","0.9322","0.9322"
"44","0.9382","0.9382","0.9382"
"45","0.9348","0.9348","0.9348"
"46","0.9376","0.9376","0.9376"
"47","0.9415","0.9415","0.9415"
"48","0.9421","0.9421","0.9421"
"49","0.9422","0.9422","0.9422"
"50","0.9428","0.9428","0.9428"
"51","0.9457","0.9457","0.9457"
"52","0.9448","0.9448","0.9448"
"53","0.9455","0.9455","0.9455"
"54","0.9477","0.9477","0.9477"
"55","0.9469","0.9469","0.9469"
"56","0.949","0.949","0.949"
"57","0.9473","0.9473","0.9473"
"58","0.9473","0.9473","0.9473"
"59","0.9517","0.9517","0.9517"
"60","0.9499","0.9499","0.9499"
"61","0.9534","0.9534","0.9534"
"62","0.9524","0.9524","0.9524"
"63","0.9533","0.9533","0.9533"
