"Step","exp_iid - test/acc","exp_iid - test/acc__MIN","exp_iid - test/acc__MAX"
"168","0.9794","0.9794","0.9794"
"169","0.9789","0.9789","0.9789"
"170","0.9797","0.9797","0.9797"
"171","0.9774","0.9774","0.9774"
"172","0.9792","0.9792","0.9792"
"173","0.9778","0.9778","0.9778"
"174","0.9806","0.9806","0.9806"
"175","0.9791","0.9791","0.9791"
"176","0.9801","0.9801","0.9801"
"177","0.9801","0.9801","0.9801"
"178","0.9791","0.9791","0.9791"
"179","0.9792","0.9792","0.9792"
"180","0.9792","0.9792","0.9792"
"181","0.9802","0.9802","0.9802"
"182","0.9791","0.9791","0.9791"
"183","0.9805","0.9805","0.9805"
"184","0.9802","0.9802","0.9802"
"185","0.9809","0.9809","0.9809"
"186","0.981","0.981","0.981"
"187","0.981","0.981","0.981"
"188","0.98","0.98","0.98"
"189","0.9808","0.9808","0.9808"
"190","0.9791","0.9791","0.9791"
"191","0.9812","0.9812","0.9812"
"192","0.9808","0.9808","0.9808"
"193","0.9809","0.9809","0.9809"
"194","0.9802","0.9802","0.9802"
"195","0.9808","0.9808","0.9808"
"196","0.9805","0.9805","0.9805"
"197","0.9812","0.9812","0.9812"
"198","0.9812","0.9812","0.9812"
"199","0.9805","0.9805","0.9805"
"200","0.9808","0.9808","0.9808"
"201","0.9818","0.9818","0.9818"
"202","0.9803","0.9803","0.9803"
"203","0.98","0.98","0.98"
"204","0.9805","0.9805","0.9805"
"205","0.9813","0.9813","0.9813"
"206","0.982","0.982","0.982"
"207","0.9809","0.9809","0.9809"
"208","0.9815","0.9815","0.9815"
"209","0.9805","0.9805","0.9805"
"210","0.9804","0.9804","0.9804"
"211","0.9812","0.9812","0.9812"
"212","0.9801","0.9801","0.9801"
"213","0.9822","0.9822","0.9822"
"214","0.9827","0.9827","0.9827"
"215","0.982","0.982","0.982"
"216","0.9827","0.9827","0.9827"
"217","0.981","0.981","0.981"
"218","0.9823","0.9823","0.9823"
"219","0.9813","0.9813","0.9813"
"220","0.9825","0.9825","0.9825"
"221","0.9813","0.9813","0.9813"
"222","0.983","0.983","0.983"
"223","0.9814","0.9814","0.9814"
"224","0.9818","0.9818","0.9818"
"225","0.9836","0.9836","0.9836"
"226","0.9821","0.9821","0.9821"
"227","0.9825","0.9825","0.9825"
"228","0.982","0.982","0.982"
"229","0.9829","0.9829","0.9829"
"230","0.9824","0.9824","0.9824"
"231","0.9833","0.9833","0.9833"
"232","0.9831","0.9831","0.9831"
"233","0.9827","0.9827","0.9827"
"234","0.982","0.982","0.982"
"235","0.9835","0.9835","0.9835"
"236","0.9829","0.9829","0.9829"
"237","0.9827","0.9827","0.9827"
"238","0.9825","0.9825","0.9825"
"239","0.9831","0.9831","0.9831"
"240","0.9833","0.9833","0.9833"
"241","0.9834","0.9834","0.9834"
"242","0.9843","0.9843","0.9843"
"243","0.984","0.984","0.984"
"244","0.9838","0.9838","0.9838"
"245","0.9833","0.9833","0.9833"
"246","0.983","0.983","0.983"
"247","0.9841","0.9841","0.9841"
"248","0.9847","0.9847","0.9847"
"249","0.9833","0.9833","0.9833"
"250","0.9832","0.9832","0.9832"
"251","0.9841","0.9841","0.9841"
"252","0.9842","0.9842","0.9842"
"253","0.9842","0.9842","0.9842"
"254","0.9838","0.9838","0.9838"
"255","0.9827","0.9827","0.9827"
"256","0.9821","0.9821","0.9821"
"257","0.9829","0.9829","0.9829"
"258","0.9833","0.9833","0.9833"
"259","0.9833","0.9833","0.9833"
"260","0.9839","0.9839","0.9839"
"261","0.9845","0.9845","0.9845"
"262","0.9834","0.9834","0.9834"
"263","0.9847","0.9847","0.9847"
"264","0.9841","0.9841","0.9841"
"265","0.9826","0.9826","0.9826"
"266","0.9841","0.9841","0.9841"
"267","0.9841","0.9841","0.9841"
"268","0.9844","0.9844","0.9844"
"269","0.983","0.983","0.983"
"270","0.9836","0.9836","0.9836"
"271","0.9838","0.9838","0.9838"
"272","0.9834","0.9834","0.9834"
"273","0.9851","0.9851","0.9851"
"274","0.9834","0.9834","0.9834"
"275","0.9845","0.9845","0.9845"
"276","0.9848","0.9848","0.9848"
"277","0.985","0.985","0.985"
"278","0.9847","0.9847","0.9847"
"279","0.9856","0.9856","0.9856"
"280","0.9849","0.9849","0.9849"
"281","0.9849","0.9849","0.9849"
"282","0.9849","0.9849","0.9849"
"283","0.9842","0.9842","0.9842"
"284","0.9838","0.9838","0.9838"
"285","0.9828","0.9828","0.9828"
"286","0.9848","0.9848","0.9848"
"287","0.9859","0.9859","0.9859"
"288","0.9855","0.9855","0.9855"
"289","0.9851","0.9851","0.9851"
"290","0.9853","0.9853","0.9853"
"291","0.985","0.985","0.985"
"292","0.9849","0.9849","0.9849"
"293","0.9854","0.9854","0.9854"
"294","0.9855","0.9855","0.9855"
"295","0.9849","0.9849","0.9849"
"296","0.9853","0.9853","0.9853"
"297","0.9864","0.9864","0.9864"
"298","0.9846","0.9846","0.9846"
"299","0.9838","0.9838","0.9838"
"300","0.984","0.984","0.984"
"301","0.9856","0.9856","0.9856"
"302","0.9856","0.9856","0.9856"
"303","0.9852","0.9852","0.9852"
"304","0.9847","0.9847","0.9847"
"305","0.9859","0.9859","0.9859"
"306","0.9848","0.9848","0.9848"
"307","0.9862","0.9862","0.9862"
"308","0.9862","0.9862","0.9862"
"309","0.9854","0.9854","0.9854"
"310","0.986","0.986","0.986"
"311","0.985","0.985","0.985"
"312","0.9855","0.9855","0.9855"
"313","0.9854","0.9854","0.9854"
"314","0.9858","0.9858","0.9858"
"315","0.9858","0.9858","0.9858"
"316","0.9859","0.9859","0.9859"
"317","0.9857","0.9857","0.9857"
"318","0.986","0.986","0.986"
"319","0.9853","0.9853","0.9853"
"320","0.9861","0.9861","0.9861"
"321","0.9856","0.9856","0.9856"
"322","0.9854","0.9854","0.9854"
"323","0.9837","0.9837","0.9837"
"324","0.9831","0.9831","0.9831"
"325","0.9847","0.9847","0.9847"
"326","0.9858","0.9858","0.9858"
"327","0.9858","0.9858","0.9858"
"328","0.9857","0.9857","0.9857"
"329","0.9862","0.9862","0.9862"
"330","0.9861","0.9861","0.9861"
"331","0.9851","0.9851","0.9851"
"332","0.9861","0.9861","0.9861"
"333","0.9846","0.9846","0.9846"
"334","0.9856","0.9856","0.9856"
"335","0.9855","0.9855","0.9855"
"336","0.9864","0.9864","0.9864"
"337","0.9862","0.9862","0.9862"
"338","0.986","0.986","0.986"
"339","0.9862","0.9862","0.9862"
"340","0.9862","0.9862","0.9862"
"341","0.9863","0.9863","0.9863"
"342","0.9862","0.9862","0.9862"
"343","0.9869","0.9869","0.9869"
"344","0.9858","0.9858","0.9858"
"345","0.9875","0.9875","0.9875"
"346","0.9862","0.9862","0.9862"
"347","0.9853","0.9853","0.9853"
"348","0.9857","0.9857","0.9857"
"349","0.9869","0.9869","0.9869"
"350","0.987","0.987","0.987"
"351","0.9872","0.9872","0.9872"
"352","0.986","0.986","0.986"
"353","0.987","0.987","0.987"
"354","0.9861","0.9861","0.9861"
"355","0.9857","0.9857","0.9857"
"356","0.9856","0.9856","0.9856"
"357","0.987","0.987","0.987"
"358","0.9868","0.9868","0.9868"
"359","0.9865","0.9865","0.9865"
"360","0.9861","0.9861","0.9861"
"361","0.9868","0.9868","0.9868"
"362","0.9864","0.9864","0.9864"
"363","0.986","0.986","0.986"
"364","0.9874","0.9874","0.9874"
"365","0.9859","0.9859","0.9859"
"366","0.9863","0.9863","0.9863"
"367","0.9876","0.9876","0.9876"
"368","0.9867","0.9867","0.9867"
"369","0.9867","0.9867","0.9867"
"370","0.9876","0.9876","0.9876"
"371","0.988","0.988","0.988"
"372","0.9876","0.9876","0.9876"
"373","0.9857","0.9857","0.9857"
"374","0.9868","0.9868","0.9868"
"375","0.9863","0.9863","0.9863"
"376","0.9866","0.9866","0.9866"
"377","0.9872","0.9872","0.9872"
"378","0.9874","0.9874","0.9874"
"379","0.9874","0.9874","0.9874"
"380","0.9863","0.9863","0.9863"
"381","0.9863","0.9863","0.9863"
"382","0.9872","0.9872","0.9872"
"383","0.9871","0.9871","0.9871"
"384","0.9873","0.9873","0.9873"
"385","0.9867","0.9867","0.9867"
"386","0.9869","0.9869","0.9869"
"387","0.9871","0.9871","0.9871"
"388","0.987","0.987","0.987"
"389","0.9868","0.9868","0.9868"
"390","0.987","0.987","0.987"
"391","0.9874","0.9874","0.9874"
"392","0.9873","0.9873","0.9873"
"393","0.9874","0.9874","0.9874"
"394","0.9863","0.9863","0.9863"
"395","0.9869","0.9869","0.9869"
"396","0.987","0.987","0.987"
"397","0.9877","0.9877","0.9877"
"398","0.987","0.987","0.987"
"399","0.987","0.987","0.987"
"400","0.986","0.986","0.986"
"401","0.9869","0.9869","0.9869"
"402","0.9871","0.9871","0.9871"
"403","0.9878","0.9878","0.9878"
