"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.8118","0.8118","0.8118"
"1","0.9024","0.9024","0.9024"
"2","0.9219","0.9219","0.9219"
"3","0.9364","0.9364","0.9364"
"4","0.947","0.947","0.947"
"5","0.9539","0.9539","0.9539"
"6","0.9598","0.9598","0.9598"
"7","0.9638","0.9638","0.9638"
"8","0.9654","0.9654","0.9654"
"9","0.969","0.969","0.969"
"10","0.9733","0.9733","0.9733"
"11","0.9741","0.9741","0.9741"
"12","0.9771","0.9771","0.9771"
"13","0.9756","0.9756","0.9756"
"14","0.9788","0.9788","0.9788"
"15","0.9778","0.9778","0.9778"
"16","0.9792","0.9792","0.9792"
"17","0.9782","0.9782","0.9782"
"18","0.9788","0.9788","0.9788"
"19","0.9797","0.9797","0.9797"
"20","0.9805","0.9805","0.9805"
"21","0.9828","0.9828","0.9828"
"22","0.9823","0.9823","0.9823"
"23","0.9831","0.9831","0.9831"
"24","0.9838","0.9838","0.9838"
"25","0.9833","0.9833","0.9833"
"26","0.9841","0.9841","0.9841"
"27","0.983","0.983","0.983"
"28","0.9842","0.9842","0.9842"
"29","0.9851","0.9851","0.9851"
"30","0.9845","0.9845","0.9845"
"31","0.9845","0.9845","0.9845"
"32","0.9841","0.9841","0.9841"
"33","0.9851","0.9851","0.9851"
"34","0.9851","0.9851","0.9851"
"35","0.9847","0.9847","0.9847"
"36","0.9859","0.9859","0.9859"
"37","0.987","0.987","0.987"
"38","0.9857","0.9857","0.9857"
"39","0.9864","0.9864","0.9864"
"40","0.9868","0.9868","0.9868"
"41","0.9869","0.9869","0.9869"
"42","0.9869","0.9869","0.9869"
"43","0.987","0.987","0.987"
"44","0.9863","0.9863","0.9863"
"45","0.9868","0.9868","0.9868"
"46","0.9867","0.9867","0.9867"
"47","0.9873","0.9873","0.9873"
"48","0.9872","0.9872","0.9872"
"49","0.987","0.987","0.987"
"50","0.9861","0.9861","0.9861"
"51","0.9876","0.9876","0.9876"
"52","0.9882","0.9882","0.9882"
"53","0.9882","0.9882","0.9882"
"54","0.9869","0.9869","0.9869"
"55","0.9876","0.9876","0.9876"
"56","0.9871","0.9871","0.9871"
"57","0.988","0.988","0.988"
"58","0.9873","0.9873","0.9873"
"59","0.9874","0.9874","0.9874"
"60","0.9875","0.9875","0.9875"
"61","0.9878","0.9878","0.9878"
"62","0.9882","0.9882","0.9882"
"63","0.9884","0.9884","0.9884"
"64","0.9878","0.9878","0.9878"
"65","0.9884","0.9884","0.9884"
"66","0.9883","0.9883","0.9883"
"67","0.9885","0.9885","0.9885"
"68","0.9879","0.9879","0.9879"
"69","0.9886","0.9886","0.9886"
"70","0.9889","0.9889","0.9889"
"71","0.9891","0.9891","0.9891"
"72","0.9887","0.9887","0.9887"
"73","0.9895","0.9895","0.9895"
"74","0.9884","0.9884","0.9884"
"75","0.9888","0.9888","0.9888"
"76","0.9892","0.9892","0.9892"
"77","0.9894","0.9894","0.9894"
"78","0.9881","0.9881","0.9881"
"79","0.9889","0.9889","0.9889"
"80","0.9883","0.9883","0.9883"
"81","0.9884","0.9884","0.9884"
"82","0.9879","0.9879","0.9879"
"83","0.9897","0.9897","0.9897"
"84","0.9885","0.9885","0.9885"
"85","0.9892","0.9892","0.9892"
"86","0.9894","0.9894","0.9894"
"87","0.9894","0.9894","0.9894"
"88","0.9889","0.9889","0.9889"
"89","0.9892","0.9892","0.9892"
"90","0.9897","0.9897","0.9897"
"91","0.9901","0.9901","0.9901"
