"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.9329","0.9329","0.9329"
"1","0.9505","0.9505","0.9505"
"2","0.9613","0.9613","0.9613"
"3","0.968","0.968","0.968"
"4","0.97","0.97","0.97"
"5","0.9741","0.9741","0.9741"
"6","0.9761","0.9761","0.9761"
"7","0.9771","0.9771","0.9771"
"8","0.9787","0.9787","0.9787"
"9","0.9803","0.9803","0.9803"
"10","0.9804","0.9804","0.9804"
"11","0.9822","0.9822","0.9822"
"12","0.9819","0.9819","0.9819"
"13","0.9826","0.9826","0.9826"
"14","0.9831","0.9831","0.9831"
"15","0.9836","0.9836","0.9836"
"16","0.9835","0.9835","0.9835"
"17","0.9846","0.9846","0.9846"
"18","0.9839","0.9839","0.9839"
"19","0.9851","0.9851","0.9851"
"20","0.9845","0.9845","0.9845"
"21","0.985","0.985","0.985"
"22","0.9854","0.9854","0.9854"
"23","0.9858","0.9858","0.9858"
"24","0.9861","0.9861","0.9861"
"25","0.9856","0.9856","0.9856"
"26","0.9871","0.9871","0.9871"
"27","0.9871","0.9871","0.9871"
"28","0.9872","0.9872","0.9872"
"29","0.9876","0.9876","0.9876"
"30","0.9864","0.9864","0.9864"
"31","0.9864","0.9864","0.9864"
"32","0.9877","0.9877","0.9877"
"33","0.9874","0.9874","0.9874"
"34","0.9875","0.9875","0.9875"
"35","0.9866","0.9866","0.9866"
"36","0.9871","0.9871","0.9871"
"37","0.9879","0.9879","0.9879"
"38","0.9883","0.9883","0.9883"
"39","0.9869","0.9869","0.9869"
"40","0.988","0.988","0.988"
"41","0.9881","0.9881","0.9881"
"42","0.9876","0.9876","0.9876"
"43","0.9878","0.9878","0.9878"
"44","0.9881","0.9881","0.9881"
"45","0.9879","0.9879","0.9879"
"46","0.9878","0.9878","0.9878"
"47","0.9882","0.9882","0.9882"
"48","0.9877","0.9877","0.9877"
"49","0.9881","0.9881","0.9881"
"50","0.9889","0.9889","0.9889"
"51","0.9884","0.9884","0.9884"
"52","0.9886","0.9886","0.9886"
"53","0.9892","0.9892","0.9892"
"54","0.989","0.989","0.989"
"55","0.9889","0.9889","0.9889"
"56","0.9887","0.9887","0.9887"
"57","0.9894","0.9894","0.9894"
"58","0.9886","0.9886","0.9886"
"59","0.9896","0.9896","0.9896"
"60","0.9893","0.9893","0.9893"
"61","0.989","0.989","0.989"
"62","0.9894","0.9894","0.9894"
"63","0.989","0.989","0.989"
"64","0.9894","0.9894","0.9894"
"65","0.9894","0.9894","0.9894"
"66","0.9901","0.9901","0.9901"
