"Step","non_iid - test/acc","non_iid - test/acc__MIN","non_iid - test/acc__MAX"
"308","0.9791","0.9791","0.9791"
"309","0.9793","0.9793","0.9793"
"310","0.9794","0.9794","0.9794"
"311","0.9802","0.9802","0.9802"
"312","0.9802","0.9802","0.9802"
"313","0.9812","0.9812","0.9812"
"314","0.9791","0.9791","0.9791"
"315","0.9797","0.9797","0.9797"
"316","0.9738","0.9738","0.9738"
"317","0.9743","0.9743","0.9743"
"318","0.9805","0.9805","0.9805"
"319","0.9802","0.9802","0.9802"
"320","0.9785","0.9785","0.9785"
"321","0.9802","0.9802","0.9802"
"322","0.983","0.983","0.983"
"323","0.9807","0.9807","0.9807"
"324","0.9789","0.9789","0.9789"
"325","0.9824","0.9824","0.9824"
"326","0.972","0.972","0.972"
"327","0.9819","0.9819","0.9819"
"328","0.9798","0.9798","0.9798"
"329","0.9815","0.9815","0.9815"
"330","0.9814","0.9814","0.9814"
"331","0.9817","0.9817","0.9817"
"332","0.9794","0.9794","0.9794"
"333","0.9802","0.9802","0.9802"
"334","0.9806","0.9806","0.9806"
"335","0.9812","0.9812","0.9812"
"336","0.9825","0.9825","0.9825"
"337","0.9817","0.9817","0.9817"
"338","0.9823","0.9823","0.9823"
"339","0.9817","0.9817","0.9817"
"340","0.9834","0.9834","0.9834"
"341","0.9809","0.9809","0.9809"
"342","0.9833","0.9833","0.9833"
"343","0.9818","0.9818","0.9818"
"344","0.981","0.981","0.981"
"345","0.9807","0.9807","0.9807"
"346","0.9771","0.9771","0.9771"
"347","0.9837","0.9837","0.9837"
"348","0.9813","0.9813","0.9813"
"349","0.9794","0.9794","0.9794"
"350","0.9833","0.9833","0.9833"
"351","0.9788","0.9788","0.9788"
"352","0.9788","0.9788","0.9788"
"353","0.9817","0.9817","0.9817"
"354","0.9834","0.9834","0.9834"
"355","0.9815","0.9815","0.9815"
"356","0.9811","0.9811","0.9811"
"357","0.9808","0.9808","0.9808"
"358","0.9807","0.9807","0.9807"
"359","0.9815","0.9815","0.9815"
"360","0.9817","0.9817","0.9817"
"361","0.9826","0.9826","0.9826"
"362","0.9826","0.9826","0.9826"
"363","0.9807","0.9807","0.9807"
"364","0.9802","0.9802","0.9802"
"365","0.9813","0.9813","0.9813"
"366","0.9825","0.9825","0.9825"
"367","0.9826","0.9826","0.9826"
"368","0.9826","0.9826","0.9826"
"369","0.9823","0.9823","0.9823"
"370","0.9806","0.9806","0.9806"
"371","0.9824","0.9824","0.9824"
"372","0.9801","0.9801","0.9801"
"373","0.9824","0.9824","0.9824"
"374","0.9815","0.9815","0.9815"
"375","0.9845","0.9845","0.9845"
"376","0.9818","0.9818","0.9818"
"377","0.9838","0.9838","0.9838"
"378","0.9793","0.9793","0.9793"
"379","0.9835","0.9835","0.9835"
"380","0.9816","0.9816","0.9816"
"381","0.9805","0.9805","0.9805"
"382","0.9831","0.9831","0.9831"
"383","0.978","0.978","0.978"
"384","0.9831","0.9831","0.9831"
"385","0.9767","0.9767","0.9767"
"386","0.9813","0.9813","0.9813"
"387","0.9812","0.9812","0.9812"
"388","0.9798","0.9798","0.9798"
"389","0.9829","0.9829","0.9829"
"390","0.9818","0.9818","0.9818"
"391","0.9834","0.9834","0.9834"
"392","0.9823","0.9823","0.9823"
"393","0.9834","0.9834","0.9834"
"394","0.9798","0.9798","0.9798"
"395","0.9816","0.9816","0.9816"
"396","0.9812","0.9812","0.9812"
"397","0.9841","0.9841","0.9841"
"398","0.9801","0.9801","0.9801"
"399","0.9824","0.9824","0.9824"
"400","0.9832","0.9832","0.9832"
"401","0.9806","0.9806","0.9806"
"402","0.9799","0.9799","0.9799"
"403","0.983","0.983","0.983"
"404","0.9828","0.9828","0.9828"
"405","0.9834","0.9834","0.9834"
"406","0.9836","0.9836","0.9836"
"407","0.981","0.981","0.981"
"408","0.9807","0.9807","0.9807"
"409","0.9846","0.9846","0.9846"
"410","0.9826","0.9826","0.9826"
"411","0.984","0.984","0.984"
"412","0.9818","0.9818","0.9818"
"413","0.9846","0.9846","0.9846"
"414","0.9845","0.9845","0.9845"
"415","0.9833","0.9833","0.9833"
"416","0.9846","0.9846","0.9846"
"417","0.984","0.984","0.984"
"418","0.9847","0.9847","0.9847"
"419","0.9837","0.9837","0.9837"
"420","0.9831","0.9831","0.9831"
"421","0.9846","0.9846","0.9846"
"422","0.9826","0.9826","0.9826"
"423","0.9852","0.9852","0.9852"
"424","0.981","0.981","0.981"
"425","0.9839","0.9839","0.9839"
"426","0.9832","0.9832","0.9832"
"427","0.985","0.985","0.985"
"428","0.9837","0.9837","0.9837"
"429","0.9849","0.9849","0.9849"
"430","0.9838","0.9838","0.9838"
"431","0.9846","0.9846","0.9846"
"432","0.9825","0.9825","0.9825"
"433","0.9851","0.9851","0.9851"
"434","0.9836","0.9836","0.9836"
"435","0.983","0.983","0.983"
"436","0.9846","0.9846","0.9846"
"437","0.9819","0.9819","0.9819"
"438","0.983","0.983","0.983"
"439","0.9839","0.9839","0.9839"
"440","0.9835","0.9835","0.9835"
"441","0.9846","0.9846","0.9846"
"442","0.9843","0.9843","0.9843"
"443","0.983","0.983","0.983"
"444","0.9845","0.9845","0.9845"
"445","0.9856","0.9856","0.9856"
"446","0.9847","0.9847","0.9847"
"447","0.9855","0.9855","0.9855"
"448","0.985","0.985","0.985"
"449","0.9839","0.9839","0.9839"
"450","0.9855","0.9855","0.9855"
"451","0.985","0.985","0.985"
"452","0.9843","0.9843","0.9843"
"453","0.9822","0.9822","0.9822"
"454","0.9855","0.9855","0.9855"
"455","0.9851","0.9851","0.9851"
"456","0.9842","0.9842","0.9842"
"457","0.9833","0.9833","0.9833"
"458","0.9832","0.9832","0.9832"
"459","0.986","0.986","0.986"
"460","0.9838","0.9838","0.9838"
"461","0.9848","0.9848","0.9848"
"462","0.9861","0.9861","0.9861"
"463","0.9865","0.9865","0.9865"
"464","0.9852","0.9852","0.9852"
"465","0.983","0.983","0.983"
"466","0.985","0.985","0.985"
"467","0.9863","0.9863","0.9863"
"468","0.9826","0.9826","0.9826"
"469","0.986","0.986","0.986"
"470","0.9847","0.9847","0.9847"
"471","0.9859","0.9859","0.9859"
"472","0.9864","0.9864","0.9864"
"473","0.9835","0.9835","0.9835"
"474","0.9839","0.9839","0.9839"
"475","0.9857","0.9857","0.9857"
"476","0.9847","0.9847","0.9847"
"477","0.982","0.982","0.982"
"478","0.9863","0.9863","0.9863"
"479","0.9834","0.9834","0.9834"
"480","0.9834","0.9834","0.9834"
"481","0.9859","0.9859","0.9859"
"482","0.9853","0.9853","0.9853"
"483","0.9856","0.9856","0.9856"
"484","0.9829","0.9829","0.9829"
"485","0.9851","0.9851","0.9851"
"486","0.9837","0.9837","0.9837"
"487","0.9845","0.9845","0.9845"
"488","0.985","0.985","0.985"
"489","0.9861","0.9861","0.9861"
"490","0.984","0.984","0.984"
"491","0.9811","0.9811","0.9811"
"492","0.9835","0.9835","0.9835"
"493","0.9863","0.9863","0.9863"
"494","0.9848","0.9848","0.9848"
"495","0.984","0.984","0.984"
"496","0.9851","0.9851","0.9851"
"497","0.9846","0.9846","0.9846"
"498","0.9835","0.9835","0.9835"
"499","0.9827","0.9827","0.9827"
"500","0.984","0.984","0.984"
"501","0.984","0.984","0.984"
"502","0.9851","0.9851","0.9851"
"503","0.9855","0.9855","0.9855"
"504","0.9858","0.9858","0.9858"
"505","0.984","0.984","0.984"
"506","0.985","0.985","0.985"
"507","0.9851","0.9851","0.9851"
"508","0.9865","0.9865","0.9865"
"509","0.9851","0.9851","0.9851"
"510","0.9858","0.9858","0.9858"
"511","0.9855","0.9855","0.9855"
"512","0.9855","0.9855","0.9855"
"513","0.9845","0.9845","0.9845"
"514","0.9853","0.9853","0.9853"
"515","0.9865","0.9865","0.9865"
"516","0.9866","0.9866","0.9866"
"517","0.9851","0.9851","0.9851"
"518","0.9872","0.9872","0.9872"
"519","0.9838","0.9838","0.9838"
"520","0.9859","0.9859","0.9859"
"521","0.9843","0.9843","0.9843"
"522","0.9874","0.9874","0.9874"
"523","0.9849","0.9849","0.9849"
"524","0.9861","0.9861","0.9861"
"525","0.9866","0.9866","0.9866"
"526","0.9877","0.9877","0.9877"
"527","0.9857","0.9857","0.9857"
"528","0.9863","0.9863","0.9863"
"529","0.9851","0.9851","0.9851"
"530","0.9852","0.9852","0.9852"
"531","0.9864","0.9864","0.9864"
"532","0.9848","0.9848","0.9848"
"533","0.9856","0.9856","0.9856"
"534","0.9868","0.9868","0.9868"
"535","0.9858","0.9858","0.9858"
"536","0.9862","0.9862","0.9862"
"537","0.9836","0.9836","0.9836"
"538","0.9865","0.9865","0.9865"
"539","0.9849","0.9849","0.9849"
"540","0.9853","0.9853","0.9853"
"541","0.9841","0.9841","0.9841"
"542","0.9845","0.9845","0.9845"
"543","0.985","0.985","0.985"
"544","0.9854","0.9854","0.9854"
"545","0.9866","0.9866","0.9866"
"546","0.9858","0.9858","0.9858"
"547","0.985","0.985","0.985"
"548","0.9848","0.9848","0.9848"
"549","0.9835","0.9835","0.9835"
"550","0.9875","0.9875","0.9875"
"551","0.9855","0.9855","0.9855"
"552","0.9855","0.9855","0.9855"
"553","0.9816","0.9816","0.9816"
"554","0.9839","0.9839","0.9839"
"555","0.9862","0.9862","0.9862"
"556","0.987","0.987","0.987"
"557","0.9858","0.9858","0.9858"
"558","0.9851","0.9851","0.9851"
"559","0.9862","0.9862","0.9862"
"560","0.9866","0.9866","0.9866"
"561","0.9852","0.9852","0.9852"
"562","0.986","0.986","0.986"
"563","0.9857","0.9857","0.9857"
"564","0.9854","0.9854","0.9854"
"565","0.9851","0.9851","0.9851"
"566","0.9843","0.9843","0.9843"
"567","0.9856","0.9856","0.9856"
"568","0.9843","0.9843","0.9843"
"569","0.9873","0.9873","0.9873"
"570","0.9866","0.9866","0.9866"
"571","0.9867","0.9867","0.9867"
"572","0.9868","0.9868","0.9868"
"573","0.9874","0.9874","0.9874"
"574","0.9869","0.9869","0.9869"
"575","0.9849","0.9849","0.9849"
"576","0.9854","0.9854","0.9854"
"577","0.9861","0.9861","0.9861"
"578","0.9845","0.9845","0.9845"
"579","0.9843","0.9843","0.9843"
"580","0.9872","0.9872","0.9872"
"581","0.987","0.987","0.987"
"582","0.9849","0.9849","0.9849"
"583","0.9845","0.9845","0.9845"
"584","0.9861","0.9861","0.9861"
"585","0.9878","0.9878","0.9878"
"586","0.9876","0.9876","0.9876"
"587","0.9878","0.9878","0.9878"
"588","0.9862","0.9862","0.9862"
"589","0.9879","0.9879","0.9879"
"590","0.9884","0.9884","0.9884"
"591","0.9877","0.9877","0.9877"
"592","0.9877","0.9877","0.9877"
"593","0.9826","0.9826","0.9826"
"594","0.9867","0.9867","0.9867"
"595","0.985","0.985","0.985"
"596","0.9855","0.9855","0.9855"
"597","0.9856","0.9856","0.9856"
"598","0.9861","0.9861","0.9861"
"599","0.9855","0.9855","0.9855"
"600","0.9867","0.9867","0.9867"
"601","0.9875","0.9875","0.9875"
"602","0.9873","0.9873","0.9873"
"603","0.9857","0.9857","0.9857"
"604","0.9852","0.9852","0.9852"
"605","0.9856","0.9856","0.9856"
"606","0.9863","0.9863","0.9863"
"607","0.9867","0.9867","0.9867"
"608","0.9844","0.9844","0.9844"
"609","0.986","0.986","0.986"
"610","0.9852","0.9852","0.9852"
"611","0.9846","0.9846","0.9846"
"612","0.9863","0.9863","0.9863"
"613","0.9876","0.9876","0.9876"
"614","0.9878","0.9878","0.9878"
"615","0.9866","0.9866","0.9866"
"616","0.9867","0.9867","0.9867"
"617","0.9858","0.9858","0.9858"
"618","0.987","0.987","0.987"
"619","0.9879","0.9879","0.9879"
"620","0.9864","0.9864","0.9864"
"621","0.987","0.987","0.987"
"622","0.9866","0.9866","0.9866"
"623","0.987","0.987","0.987"
"624","0.9864","0.9864","0.9864"
"625","0.9869","0.9869","0.9869"
"626","0.9875","0.9875","0.9875"
"627","0.9871","0.9871","0.9871"
"628","0.9876","0.9876","0.9876"
"629","0.9862","0.9862","0.9862"
"630","0.9868","0.9868","0.9868"
"631","0.9863","0.9863","0.9863"
"632","0.9856","0.9856","0.9856"
"633","0.9836","0.9836","0.9836"
"634","0.9876","0.9876","0.9876"
"635","0.9874","0.9874","0.9874"
"636","0.9875","0.9875","0.9875"
"637","0.9887","0.9887","0.9887"
"638","0.9846","0.9846","0.9846"
"639","0.9855","0.9855","0.9855"
"640","0.9861","0.9861","0.9861"
"641","0.985","0.985","0.985"
"642","0.9875","0.9875","0.9875"
"643","0.9873","0.9873","0.9873"
"644","0.9858","0.9858","0.9858"
"645","0.9851","0.9851","0.9851"
"646","0.9837","0.9837","0.9837"
"647","0.987","0.987","0.987"
"648","0.9866","0.9866","0.9866"
"649","0.9875","0.9875","0.9875"
"650","0.9889","0.9889","0.9889"
"651","0.9893","0.9893","0.9893"
"652","0.9883","0.9883","0.9883"
"653","0.9868","0.9868","0.9868"
"654","0.9877","0.9877","0.9877"
"655","0.9887","0.9887","0.9887"
"656","0.9852","0.9852","0.9852"
"657","0.9849","0.9849","0.9849"
"658","0.987","0.987","0.987"
"659","0.9867","0.9867","0.9867"
"660","0.9873","0.9873","0.9873"
"661","0.9878","0.9878","0.9878"
"662","0.9875","0.9875","0.9875"
"663","0.9859","0.9859","0.9859"
"664","0.9851","0.9851","0.9851"
"665","0.9866","0.9866","0.9866"
"666","0.9865","0.9865","0.9865"
"667","0.9879","0.9879","0.9879"
"668","0.9885","0.9885","0.9885"
"669","0.987","0.987","0.987"
"670","0.9881","0.9881","0.9881"
"671","0.987","0.987","0.987"
"672","0.9874","0.9874","0.9874"
"673","0.9871","0.9871","0.9871"
"674","0.9869","0.9869","0.9869"
"675","0.9866","0.9866","0.9866"
"676","0.9881","0.9881","0.9881"
"677","0.987","0.987","0.987"
"678","0.9875","0.9875","0.9875"
"679","0.9861","0.9861","0.9861"
"680","0.9883","0.9883","0.9883"
"681","0.9871","0.9871","0.9871"
"682","0.9877","0.9877","0.9877"
"683","0.9858","0.9858","0.9858"
"684","0.9863","0.9863","0.9863"
"685","0.9863","0.9863","0.9863"
"686","0.9881","0.9881","0.9881"
"687","0.9852","0.9852","0.9852"
"688","0.9862","0.9862","0.9862"
"689","0.9853","0.9853","0.9853"
"690","0.9842","0.9842","0.9842"
"691","0.9843","0.9843","0.9843"
"692","0.988","0.988","0.988"
"693","0.989","0.989","0.989"
"694","0.9855","0.9855","0.9855"
"695","0.9871","0.9871","0.9871"
"696","0.9879","0.9879","0.9879"
"697","0.9873","0.9873","0.9873"
"698","0.9871","0.9871","0.9871"
"699","0.9878","0.9878","0.9878"
"700","0.9871","0.9871","0.9871"
"701","0.9876","0.9876","0.9876"
"702","0.988","0.988","0.988"
"703","0.9881","0.9881","0.9881"
"704","0.9877","0.9877","0.9877"
"705","0.9885","0.9885","0.9885"
"706","0.989","0.989","0.989"
"707","0.9879","0.9879","0.9879"
"708","0.9883","0.9883","0.9883"
"709","0.9872","0.9872","0.9872"
"710","0.9879","0.9879","0.9879"
"711","0.9874","0.9874","0.9874"
"712","0.9879","0.9879","0.9879"
"713","0.9889","0.9889","0.9889"
"714","0.9882","0.9882","0.9882"
"715","0.9882","0.9882","0.9882"
"716","0.9887","0.9887","0.9887"
"717","0.9887","0.9887","0.9887"
"718","0.9868","0.9868","0.9868"
"719","0.987","0.987","0.987"
"720","0.988","0.988","0.988"
"721","0.9859","0.9859","0.9859"
"722","0.9877","0.9877","0.9877"
"723","0.987","0.987","0.987"
"724","0.9871","0.9871","0.9871"
"725","0.9885","0.9885","0.9885"
"726","0.9884","0.9884","0.9884"
"727","0.9871","0.9871","0.9871"
"728","0.9861","0.9861","0.9861"
"729","0.9883","0.9883","0.9883"
"730","0.9871","0.9871","0.9871"
"731","0.9872","0.9872","0.9872"
"732","0.9879","0.9879","0.9879"
"733","0.9865","0.9865","0.9865"
"734","0.9876","0.9876","0.9876"
"735","0.9859","0.9859","0.9859"
"736","0.9881","0.9881","0.9881"
"737","0.9885","0.9885","0.9885"
"738","0.9853","0.9853","0.9853"
"739","0.9872","0.9872","0.9872"
"740","0.9881","0.9881","0.9881"
"741","0.9878","0.9878","0.9878"
"742","0.9871","0.9871","0.9871"
"743","0.9892","0.9892","0.9892"
"744","0.9869","0.9869","0.9869"
"745","0.9874","0.9874","0.9874"
