"Step","non_iid - test/acc","non_iid - test/acc__MIN","non_iid - test/acc__MAX"
"0","0.1619","0.1619","0.1619"
"1","0.2143","0.2143","0.2143"
"2","0.0942","0.0942","0.0942"
"3","0.3096","0.3096","0.3096"
"4","0.4662","0.4662","0.4662"
"5","0.3373","0.3373","0.3373"
"6","0.4755","0.4755","0.4755"
"7","0.5499","0.5499","0.5499"
"8","0.59","0.59","0.59"
"9","0.5963","0.5963","0.5963"
"10","0.5948","0.5948","0.5948"
"11","0.648","0.648","0.648"
"12","0.6335","0.6335","0.6335"
"13","0.6026","0.6026","0.6026"
"14","0.6444","0.6444","0.6444"
"15","0.6553","0.6553","0.6553"
"16","0.7674","0.7674","0.7674"
"17","0.7113","0.7113","0.7113"
"18","0.8016","0.8016","0.8016"
"19","0.8199","0.8199","0.8199"
"20","0.8251","0.8251","0.8251"
"21","0.8606","0.8606","0.8606"
"22","0.8424","0.8424","0.8424"
"23","0.746","0.746","0.746"
"24","0.8327","0.8327","0.8327"
"25","0.835","0.835","0.835"
"26","0.8022","0.8022","0.8022"
"27","0.8785","0.8785","0.8785"
"28","0.8682","0.8682","0.8682"
"29","0.8184","0.8184","0.8184"
"30","0.815","0.815","0.815"
"31","0.8652","0.8652","0.8652"
"32","0.8523","0.8523","0.8523"
"33","0.8965","0.8965","0.8965"
"34","0.9012","0.9012","0.9012"
"35","0.892","0.892","0.892"
"36","0.899","0.899","0.899"
"37","0.9002","0.9002","0.9002"
"38","0.9027","0.9027","0.9027"
"39","0.8608","0.8608","0.8608"
"40","0.8483","0.8483","0.8483"
"41","0.9074","0.9074","0.9074"
"42","0.9054","0.9054","0.9054"
"43","0.9009","0.9009","0.9009"
"44","0.84","0.84","0.84"
"45","0.8979","0.8979","0.8979"
"46","0.8958","0.8958","0.8958"
"47","0.8819","0.8819","0.8819"
"48","0.9221","0.9221","0.9221"
"49","0.9285","0.9285","0.9285"
"50","0.9238","0.9238","0.9238"
"51","0.917","0.917","0.917"
"52","0.9162","0.9162","0.9162"
"53","0.8761","0.8761","0.8761"
"54","0.8982","0.8982","0.8982"
"55","0.9213","0.9213","0.9213"
"56","0.9309","0.9309","0.9309"
"57","0.9195","0.9195","0.9195"
"58","0.9267","0.9267","0.9267"
"59","0.9196","0.9196","0.9196"
"60","0.9289","0.9289","0.9289"
"61","0.9343","0.9343","0.9343"
"62","0.9207","0.9207","0.9207"
"63","0.924","0.924","0.924"
"64","0.9265","0.9265","0.9265"
"65","0.9346","0.9346","0.9346"
"66","0.9271","0.9271","0.9271"
"67","0.9355","0.9355","0.9355"
"68","0.9397","0.9397","0.9397"
"69","0.9427","0.9427","0.9427"
"70","0.9264","0.9264","0.9264"
"71","0.9382","0.9382","0.9382"
"72","0.9437","0.9437","0.9437"
"73","0.9387","0.9387","0.9387"
"74","0.9368","0.9368","0.9368"
"75","0.9263","0.9263","0.9263"
"76","0.9437","0.9437","0.9437"
"77","0.9249","0.9249","0.9249"
"78","0.9357","0.9357","0.9357"
"79","0.9472","0.9472","0.9472"
"80","0.9471","0.9471","0.9471"
"81","0.9463","0.9463","0.9463"
"82","0.944","0.944","0.944"
"83","0.9456","0.9456","0.9456"
"84","0.9415","0.9415","0.9415"
"85","0.9405","0.9405","0.9405"
"86","0.9318","0.9318","0.9318"
"87","0.9428","0.9428","0.9428"
"88","0.9417","0.9417","0.9417"
"89","0.947","0.947","0.947"
"90","0.9539","0.9539","0.9539"
"91","0.9498","0.9498","0.9498"
"92","0.9537","0.9537","0.9537"
"93","0.9536","0.9536","0.9536"
"94","0.9529","0.9529","0.9529"
"95","0.9462","0.9462","0.9462"
"96","0.9492","0.9492","0.9492"
"97","0.9449","0.9449","0.9449"
"98","0.9441","0.9441","0.9441"
"99","0.9536","0.9536","0.9536"
"100","0.9556","0.9556","0.9556"
"101","0.954","0.954","0.954"
"102","0.9584","0.9584","0.9584"
"103","0.9549","0.9549","0.9549"
"104","0.9584","0.9584","0.9584"
"105","0.9575","0.9575","0.9575"
"106","0.9471","0.9471","0.9471"
"107","0.9539","0.9539","0.9539"
"108","0.953","0.953","0.953"
"109","0.9593","0.9593","0.9593"
"110","0.9569","0.9569","0.9569"
"111","0.9557","0.9557","0.9557"
"112","0.9486","0.9486","0.9486"
"113","0.9553","0.9553","0.9553"
"114","0.9499","0.9499","0.9499"
"115","0.9629","0.9629","0.9629"
"116","0.936","0.936","0.936"
"117","0.9354","0.9354","0.9354"
"118","0.954","0.954","0.954"
"119","0.9542","0.9542","0.9542"
"120","0.9604","0.9604","0.9604"
"121","0.9603","0.9603","0.9603"
"122","0.9604","0.9604","0.9604"
"123","0.9625","0.9625","0.9625"
"124","0.9575","0.9575","0.9575"
"125","0.9618","0.9618","0.9618"
"126","0.9626","0.9626","0.9626"
"127","0.9653","0.9653","0.9653"
"128","0.9625","0.9625","0.9625"
"129","0.9602","0.9602","0.9602"
"130","0.9631","0.9631","0.9631"
"131","0.9625","0.9625","0.9625"
"132","0.9651","0.9651","0.9651"
"133","0.9432","0.9432","0.9432"
"134","0.9604","0.9604","0.9604"
"135","0.9599","0.9599","0.9599"
"136","0.9591","0.9591","0.9591"
"137","0.9579","0.9579","0.9579"
"138","0.9642","0.9642","0.9642"
"139","0.965","0.965","0.965"
"140","0.9646","0.9646","0.9646"
"141","0.9646","0.9646","0.9646"
"142","0.968","0.968","0.968"
"143","0.9682","0.9682","0.9682"
"144","0.969","0.969","0.969"
"145","0.9655","0.9655","0.9655"
"146","0.9669","0.9669","0.9669"
"147","0.9686","0.9686","0.9686"
"148","0.9663","0.9663","0.9663"
"149","0.9695","0.9695","0.9695"
"150","0.9657","0.9657","0.9657"
"151","0.9659","0.9659","0.9659"
"152","0.9678","0.9678","0.9678"
"153","0.9669","0.9669","0.9669"
"154","0.9647","0.9647","0.9647"
"155","0.9672","0.9672","0.9672"
"156","0.9593","0.9593","0.9593"
"157","0.9618","0.9618","0.9618"
"158","0.9667","0.9667","0.9667"
"159","0.9716","0.9716","0.9716"
"160","0.9694","0.9694","0.9694"
"161","0.9713","0.9713","0.9713"
"162","0.9705","0.9705","0.9705"
"163","0.9696","0.9696","0.9696"
"164","0.9704","0.9704","0.9704"
"165","0.9701","0.9701","0.9701"
"166","0.9668","0.9668","0.9668"
"167","0.9665","0.9665","0.9665"
"168","0.9609","0.9609","0.9609"
"169","0.9702","0.9702","0.9702"
"170","0.9692","0.9692","0.9692"
"171","0.9609","0.9609","0.9609"
"172","0.9714","0.9714","0.9714"
"173","0.9707","0.9707","0.9707"
"174","0.97","0.97","0.97"
"175","0.9709","0.9709","0.9709"
"176","0.9684","0.9684","0.9684"
"177","0.972","0.972","0.972"
"178","0.9719","0.9719","0.9719"
"179","0.9693","0.9693","0.9693"
"180","0.9735","0.9735","0.9735"
"181","0.9679","0.9679","0.9679"
"182","0.973","0.973","0.973"
"183","0.972","0.972","0.972"
"184","0.9691","0.9691","0.9691"
"185","0.9742","0.9742","0.9742"
"186","0.9704","0.9704","0.9704"
"187","0.9752","0.9752","0.9752"
"188","0.969","0.969","0.969"
"189","0.9741","0.9741","0.9741"
"190","0.9742","0.9742","0.9742"
"191","0.971","0.971","0.971"
"192","0.9698","0.9698","0.9698"
"193","0.973","0.973","0.973"
"194","0.9721","0.9721","0.9721"
"195","0.9681","0.9681","0.9681"
"196","0.9676","0.9676","0.9676"
"197","0.9731","0.9731","0.9731"
"198","0.9675","0.9675","0.9675"
"199","0.9747","0.9747","0.9747"
"200","0.9672","0.9672","0.9672"
"201","0.9724","0.9724","0.9724"
"202","0.9722","0.9722","0.9722"
"203","0.9726","0.9726","0.9726"
"204","0.9704","0.9704","0.9704"
"205","0.9734","0.9734","0.9734"
"206","0.9718","0.9718","0.9718"
"207","0.9731","0.9731","0.9731"
"208","0.9716","0.9716","0.9716"
"209","0.968","0.968","0.968"
"210","0.9744","0.9744","0.9744"
"211","0.9736","0.9736","0.9736"
"212","0.9745","0.9745","0.9745"
"213","0.9745","0.9745","0.9745"
"214","0.9678","0.9678","0.9678"
"215","0.971","0.971","0.971"
"216","0.9756","0.9756","0.9756"
"217","0.9729","0.9729","0.9729"
"218","0.9752","0.9752","0.9752"
"219","0.9678","0.9678","0.9678"
"220","0.9754","0.9754","0.9754"
"221","0.9722","0.9722","0.9722"
"222","0.9711","0.9711","0.9711"
"223","0.9771","0.9771","0.9771"
"224","0.9763","0.9763","0.9763"
"225","0.9763","0.9763","0.9763"
"226","0.9724","0.9724","0.9724"
"227","0.9763","0.9763","0.9763"
"228","0.9754","0.9754","0.9754"
"229","0.972","0.972","0.972"
"230","0.9756","0.9756","0.9756"
"231","0.9681","0.9681","0.9681"
"232","0.974","0.974","0.974"
"233","0.976","0.976","0.976"
"234","0.9784","0.9784","0.9784"
"235","0.9758","0.9758","0.9758"
"236","0.9759","0.9759","0.9759"
"237","0.9773","0.9773","0.9773"
"238","0.9787","0.9787","0.9787"
"239","0.976","0.976","0.976"
"240","0.973","0.973","0.973"
"241","0.9774","0.9774","0.9774"
"242","0.9761","0.9761","0.9761"
"243","0.9741","0.9741","0.9741"
"244","0.9775","0.9775","0.9775"
"245","0.9779","0.9779","0.9779"
"246","0.9771","0.9771","0.9771"
"247","0.976","0.976","0.976"
"248","0.9794","0.9794","0.9794"
"249","0.9744","0.9744","0.9744"
"250","0.9719","0.9719","0.9719"
"251","0.9732","0.9732","0.9732"
"252","0.9789","0.9789","0.9789"
"253","0.9791","0.9791","0.9791"
"254","0.9763","0.9763","0.9763"
"255","0.9784","0.9784","0.9784"
"256","0.98","0.98","0.98"
"257","0.9754","0.9754","0.9754"
"258","0.9771","0.9771","0.9771"
"259","0.9783","0.9783","0.9783"
"260","0.9768","0.9768","0.9768"
"261","0.9769","0.9769","0.9769"
"262","0.9768","0.9768","0.9768"
"263","0.9774","0.9774","0.9774"
"264","0.9784","0.9784","0.9784"
"265","0.9785","0.9785","0.9785"
"266","0.9777","0.9777","0.9777"
"267","0.9726","0.9726","0.9726"
"268","0.9795","0.9795","0.9795"
"269","0.9787","0.9787","0.9787"
"270","0.9798","0.9798","0.9798"
"271","0.9768","0.9768","0.9768"
"272","0.9775","0.9775","0.9775"
"273","0.977","0.977","0.977"
"274","0.9789","0.9789","0.9789"
"275","0.9785","0.9785","0.9785"
"276","0.9801","0.9801","0.9801"
"277","0.9796","0.9796","0.9796"
"278","0.9797","0.9797","0.9797"
"279","0.9791","0.9791","0.9791"
"280","0.9762","0.9762","0.9762"
"281","0.9776","0.9776","0.9776"
"282","0.9764","0.9764","0.9764"
"283","0.9801","0.9801","0.9801"
"284","0.9793","0.9793","0.9793"
"285","0.9797","0.9797","0.9797"
"286","0.979","0.979","0.979"
"287","0.9796","0.9796","0.9796"
"288","0.9801","0.9801","0.9801"
"289","0.9802","0.9802","0.9802"
"290","0.9808","0.9808","0.9808"
"291","0.9794","0.9794","0.9794"
"292","0.9783","0.9783","0.9783"
"293","0.9815","0.9815","0.9815"
"294","0.9819","0.9819","0.9819"
"295","0.9817","0.9817","0.9817"
"296","0.979","0.979","0.979"
"297","0.9779","0.9779","0.9779"
"298","0.9777","0.9777","0.9777"
"299","0.9801","0.9801","0.9801"
"300","0.9793","0.9793","0.9793"
"301","0.9801","0.9801","0.9801"
"302","0.9782","0.9782","0.9782"
"303","0.9791","0.9791","0.9791"
"304","0.979","0.979","0.979"
"305","0.9811","0.9811","0.9811"
"306","0.9797","0.9797","0.9797"
"307","0.9781","0.9781","0.9781"
